Distribution,Formula
alpha,"f(x, a) = \frac{1}{x^2 \Phi(a) \sqrt{2\pi}} *                   \exp(-\frac{1}{2} (a-1/x)^2)"
anglit,f(x) = \sin(2x + \pi/2) = \cos(2x)
arcsine,f(x) = \frac{1}{\pi \sqrt{x (1-x)}}
argus,"f(x, \chi) = \frac{\chi^3}{\sqrt{2\pi} \Psi(\chi)} x \sqrt{1-x^2}                      \exp(-\chi^2 (1 - x^2)/2)"
beta,"f(x, a, b) = \frac{\Gamma(a+b) x^{a-1} (1-x)^{b-1}}                           {\Gamma(a) \Gamma(b)}"
betaprime,"f(x, a, b) = \frac{x^{a-1} (1+x)^{-a-b}}{\beta(a, b)}"
bradford,"f(x, c) = \frac{c}{\log(1+c) (1+cx)}"
burr,"f(x; c, d) = c d \frac{x^{-c - 1}}                               {{(1 + x^{-c})}^{d + 1}}"
burr12,"f(x; c, d) = c d \frac{x^{c-1}}                               {(1 + x^c)^{d + 1}}"
cauchy,f(x) = \frac{1}{\pi (1 + x^2)}
chi,"f(x, k) = \frac{1}{2^{k/2-1} \Gamma \left( k/2 \right)}                    x^{k-1} \exp \left( -x^2/2 \right)"
chi2,"f(x, k) = \frac{1}{2^{k/2} \Gamma \left( k/2 \right)}                    x^{k/2-1} \exp \left( -x/2 \right)"
cosine,f(x) = \frac{1}{2\pi} (1+\cos(x))
crystalball,"f(x) = N \cdot ( e^{-(x - \mu)^2 / (2\sigma^2)} \cdot \mathbf{1}_{(x - \mu)/\sigma > -\alpha} + A \cdot (B - (x - \mu)/\sigma)^{-n} \cdot \mathbf{1}_{(x - \mu)/\sigma \leq -\alpha})"
dgamma,"f(x, a) = \frac{1}{2\Gamma(a)} |x|^{a-1} \exp(-|x|)"
dpareto_lognorm,"f(x, \mu, \sigma, \alpha, \beta) =         \frac{\alpha \beta}{(\alpha + \beta) x}         \phi\left( \frac{\log x - \mu}{\sigma} \right)         \left( R(y_1) + R(y_2) \right)"
dweibull,"f(x, c) = c / 2 |x|^{c-1} \exp(-|x|^c)"
erlang,"f(x) = \frac{\lambda^k x^{k-1} e^{-\lambda x}}{(k-1)!} \cdot \mathbf{1}_{(0,\infty)}(x)"
expon,f(x) = \exp(-x)
exponnorm,"f(x, K) = \frac{1}{2K} \exp\left(\frac{1}{2 K^2} - x / K \right)                   \text{erfc}\left(-\frac{x - 1/K}{\sqrt{2}}\right)"
exponpow,"f(x, b) = b x^{b-1} \exp(1 + x^b - \exp(x^b))"
exponweib,"f(x, a, c) = a c [1-\exp(-x^c)]^{a-1} \exp(-x^c) x^{c-1}"
f,"f(x, df_1, df_2) = \frac{df_2^{df_2/2} df_1^{df_1/2} x^{df_1 / 2-1}}                                 {(df_2+df_1 x)^{(df_1+df_2)/2}                                  B(df_1/2, df_2/2)}"
fatiguelife,"f(x, c) = \frac{x+1}{2c\sqrt{2\pi x^3}} \exp(-\frac{(x-1)^2}{2x c^2})"
fisk,"f(x, c) = \frac{c x^{c-1}}                        {(1 + x^c)^2}"
foldcauchy,"f(x, c) = \frac{1}{\pi (1+(x-c)^2)} + \frac{1}{\pi (1+(x+c)^2)}"
foldnorm,"f(x, c) = \sqrt{2/\pi} cosh(c x) \exp(-\frac{x^2+c^2}{2})"
gamma,"f(x, a) = \frac{x^{a-1} e^{-x}}{\Gamma(a)}"
gausshyper,"f(x, a, b, c, z) = C x^{a-1} (1-x)^{b-1} (1+zx)^{-c}"
genexpon,"f(x, a, b, c) = (a + b (1 - \exp(-c x)))                         \exp(-a x - b x + \frac{b}{c}  (1-\exp(-c x)))"
genextreme,"f(x) = \exp(-\exp(-x)) \exp(-x),"
gengamma,"f(x, a, c) = \frac{|c| x^{c a-1} \exp(-x^c)}{\Gamma(a)}"
genhalflogistic,"f(x, c) = \frac{2 (1 - c x)^{1/(c-1)}}{[1 + (1 - c x)^{1/c}]^2}"
genhyperbolic,"f(x) = \frac{(\gamma/\delta)^\lambda}{\sqrt{2\pi} K_\lambda(\delta \gamma)} \cdot \frac{K_{\lambda - 1/2} \left( \alpha \sqrt{\delta^2 + (x - \mu)^2} \right)}{ \left( \sqrt{\delta^2 + (x - \mu)^2} / \alpha \right)^{1/2 - \lambda}} \cdot e^{\beta(x - \mu)}"
geninvgauss,"f(x, p, b) = x^{p-1} \exp(-b (x + 1/x) / 2) / (2 K_p(b))"
genlogistic,"f(x, c) = c \frac{\exp(-x)}                          {(1 + \exp(-x))^{c+1}}"
gennorm,"f(x, \beta) = \frac{\beta}{2 \Gamma(1/\beta)} \exp(-|x|^\beta),"
genpareto,"f(x, c) = (1 + c x)^{-1 - 1/c}"
gibrat,f(x) = \frac{1}{x \sqrt{2\pi}} \exp(-\frac{1}{2} (\log(x))^2)
gompertz,"f(x, c) = c \exp(x) \exp(-c (e^x-1))"
gumbel_l,f(x) = \exp(x - e^x)
gumbel_r,f(x) = \exp(-(x + e^{-x}))
halfcauchy,f(x) = \frac{2}{\pi (1 + x^2)}
halfgennorm,"f(x, \beta) = \frac{\beta}{\Gamma(1/\beta)} \exp(-|x|^\beta)"
halflogistic,f(x) = \frac{ 2 e^{-x} }{ (1+e^{-x})^2 }              = \frac{1}{2} \text{sech}(x/2)^2
halfnorm,f(x) = \sqrt{2/\pi} \exp(-x^2 / 2)
hypsecant,f(x) = \frac{1}{\pi} \text{sech}(x)
invgamma,"f(x, a) = \frac{x^{-a-1}}{\Gamma(a)} \exp(-\frac{1}{x})"
invgauss,f(x; \mu) = \frac{1}{\sqrt{2 \pi x^3}}                     \exp\left(-\frac{(x-\mu)^2}{2 \mu^2 x}\right)
invweibull,"f(x, c) = c x^{-c-1} \exp(-x^{-c})"
irwinhall,"f(x) = \frac{1}{(n-1)!} \sum_{k=0}^{\lfloor x \rfloor} (-1)^k \binom{n}{k} (x - k)^{n-1} \cdot \mathbf{1}_{[0,n]}(x)"
jf_skew_t,"f(x; a, b) = C_{a,b}^{-1}                     \left(1+\frac{x}{\left(a+b+x^2\right)^{1/2}}\right)^{a+1/2}                     \left(1-\frac{x}{\left(a+b+x^2\right)^{1/2}}\right)^{b+1/2}"
johnsonsb,"f(x, a, b) = \frac{b}{x(1-x)}  \phi(a + b \log \frac{x}{1-x} )"
johnsonsu,"f(x, a, b) = \frac{b}{\sqrt{x^2 + 1}}                      \phi(a + b \log(x + \sqrt{x^2 + 1}))"
kappa3,"f(x, a) = a (a + x^a)^{-(a + 1)/a}"
